File ID,Vehicle 1 Manufacturer,Vehicle 1 Business Name,Vehicle 1 Year of Manufacturing,Vehicle 1 Make,Vehicle 1 Model,Location of Accident,City of Accident,County of Accident,State of Accident,ZIPCODE of Accident,Vehicle 1 was Moving,Vehicle 1 was Stopped in Traffic,Pedestrian Involved in Accident (w V1),Bicyclist involved in Accident (w V1),Any other involved entity (w V1),Number of Vehicles involved in Accident (w V1),Vehicle Damage,RB,LR1,LR2,LR3,RR1,RR2,RR3,LRP1,LRP2,LRP3,LRP4,RRP1,RRP2,RRP3,RRP4,FDS1,FDS2,FDS3,FDS4,FPS1,FPS2,FPS3,FPS4,LFC1,LFC2,LFC3,RFC1,RFC2,RFC3,FB,Vehicle 2 Model,Vehicle 2 Year of Manufacturing,Vehicle 2 was Moving,Vehicle 2 was Stopped in Traffic,Pedestrian Involved in Accident (w V2),Bicyclist involved in Accident (w V2),Any other involved entity (w V2),Number of Vehicles involved in Accident (w V2),Car Mode,Weather Vehicle 1,Weather Vehicle 2,Lighting Vehicle 1,Lighting Vehicle 2,Roadway Surface Vehicle 1,Roadway Surface Vehicle 2,Roadway Conditions Vehicle 1,Roadway Conditions Vehicle 2,Movement Preceding Collision Vehicle 1,Movement Preceding Collision Vehicle 2,Type of Collison Vehicle 1,Type of Collison Vehicle 2,Other Factors
gm-cruise-collision-report-february-27-2019.pdf,GM Cruise LLC,Cruise,2019,Chevrolet,Bolt,Gough St. and Rose St.,San Francisco,San Francisco,CA,94102,/#20,N/A,N/A,N/A,N/A,2,GM Cruise LLC,/Yes,/Yes,N/A,N/A,/Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dodge Sprinter,2006,/#20,N/A,N/A,N/A,N/A,2,Autonomous Mode,Clear,Clear,Dark w Street-lights,Dark w Street-lights,Dark,Dark,No unusual conditions,No unusual conditions,Slowing/Stopping,Proceeding Straight,Other,Rear End,N/A
waymo-collision-report-september-14-2019.pdf,Waymo LLC,Waymo LLC,2017,Chrysler,Pacifica,4800 El Camino Real,Los Altos,Santa Clara,CA,94022,N/A,/#20,N/A,N/A,N/A,2,Waymo LLC,N/A,N/A,N/A,N/A,N/A,N/A,/Yes,N/A,N/A,N/A,N/A,N/A,/Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hyundai Ioniq,2019,/#20,N/A,N/A,N/A,N/A,2,Autonomous Mode,Clear,Clear,Daylight,Daylight,Dark,Dark,No unusual conditions,No unusual conditions,Stopped,Backing,Other,Broadside,N/A
gm-cruise-collision-report-august-22-2019.pdf,GM Cruise LLC,Cruise,2020,Chevrolet,Bolt,Geary Blvd between 33rd Ave and 32nd Ave,San Francisco,San Francisco,CA,94121,/#20,N/A,N/A,N/A,N/A,2,GM Cruise LLC,N/A,N/A,N/A,N/A,/Yes,N/A,/Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chevrolet,N/A,/#20,N/A,N/A,N/A,N/A,2,Autonomous Mode,Clear,Clear,Daylight,Daylight,Dark,Dark,No unusual conditions,No unusual conditions,Proceeding Straight,Changing Lanes,Other,Rear End,N/A
gm-cruise-collision-report-may-2-2019.pdf,GM Cruise LLC,Cruise,2019,Chevrolet,Bolt,24th St. and Potrero Ave,San Francisco,San Francisco,CA,94110,N/A,/#20,N/A,N/A,N/A,2,GM Cruise LLC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jetta,N/A,/#20,N/A,N/A,N/A,N/A,2,Autonomous Mode,Clear,Clear,Dark w Street-lights,Dark w Street-lights,Dark,Dark,No unusual conditions,No unusual conditions,Stopped,Slowing/Stopping,Other,Rear End,N/A
waymo-collision-report-june-16-2019.pdf,Waymo LLC,Waymo LLC,2017,Chrysler,Pacifica,Alma Street at Oregon Expressway,Palo Alto,Santa Clara,CA,94301,N/A,/#20,N/A,N/A,N/A,2,Waymo LLC,/Yes,/Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Honda Accord,N/A,/#20,N/A,N/A,N/A,N/A,2,Autonomous Mode,Clear,Clear,Daylight,Daylight,Dark,Dark,No unusual conditions,No unusual conditions,Stopped,Proceeding Straight,Other,Rear End,Entering/Leaving Traffic
aimotive-collision-report-september-16-2019.pdf,"Aimotive, Inc","Aimotive, Inc.",2010,Toyota,Prius,CA,"SB, 101 US Freeway, Old Middlefield Rd x Shorline Mountain View",Santa Clara,CA,94043,N/A,/#20,N/A,N/A,N/A,2,"Aimotive, Inc",/Yes,/Yes,N/A,N/A,/Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Honda CRV,2007,/#20,N/A,N/A,N/A,N/A,2,Conventional Mode,Clear,Clear,Daylight,Daylight,Wet,Wet,No unusual conditions,No unusual conditions,Stopped,Proceeding Straight,Other,Rear End,CVC Sections Violated
gm-cruise-collision-report-march-8-2019.pdf,GM Cruise LLC,Cruise,2019,Chevrolet,Bolt,16th St. and Guerrero St. ,San Francisco,San Francisco,CA,94103,/#20,N/A,N/A,N/A,N/A,2,GM Cruise LLC,/Yes,N/A,N/A,N/A,/Yes,N/A,/Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Audi A4,N/A,/#20,N/A,N/A,N/A,N/A,2,Autonomous Mode,Clear,Clear,Dark w Street-lights,Dark w Street-lights,Dark,Dark,No unusual conditions,No unusual conditions,Making Right Turn,Entrering Traffic,Other,Rear End,N/A
gm-cruise-collision-report-july-20-2019.pdf,GM Cruise LLC,Cruise,2020,Chevrolet,Bolt,Mission St. between 2nd St. and Shaw Alley,San Francisco,San Francisco,CA,94105,/#20,N/A,N/A,N/A,N/A,2,GM Cruise LLC,N/A,N/A,N/A,N/A,/Yes,/Yes,/Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4Runner,2017,/#20,N/A,N/A,N/A,N/A,2,Conventional Mode,Clear,Clear,Dark w Street-lights,Dark w Street-lights,Dark,Dark,No unusual conditions,No unusual conditions,Proceeding Straight,Proceeding Straight,Other,Rear End,N/A
gm-cruise-collision-report-may-8-2019.pdf,GM Cruise LLC,Cruise,2019,Chevrolet,Bolt,Franklin St. and Bay St.,San Francisco,San Francisco,CA,94123,N/A,/#20,N/A,N/A,N/A,2,GM Cruise LLC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,/Yes,N/A,N/A,unk.,N/A,/#20,N/A,N/A,N/A,N/A,2,Autonomous Mode,Cloudy,Cloudy,Daylight,Daylight,Dark,Dark,No unusual conditions,No unusual conditions,Stopped,Proceeding Straight,Other,Side Swipe,N/A
waymo-collision-report-december-20-2019.pdf,Waymo LLC,Waymo LLC,2017,Chrysler,Pacifica,Whisman Station Drive and Central Expressway,Mountain View,Santa Clara,CA,94043,N/A,/#20,N/A,N/A,N/A,2,Waymo LLC,/Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mercedes-Benz C300,2015,/#20,N/A,N/A,N/A,N/A,2,Conventional Mode,Clear,Clear,Daylight,Daylight,Dark,Dark,No unusual conditions,No unusual conditions,Stopped,Proceeding Straight,Other,Rear End,N/A
