Year,Month,Make,Model,City,State,Hour,Rear Damage,Front Damage,Right Side Damage,Left Side Damage,Inside Damage,Lighting,Weather,Roadway Surface,Movement Preceding Collision
2023,6,Lincoln,MKZ Hybrid,San Francisco,CA,12.0,0,0,1,0,0,Daylight,Clear,Dry,Xing into opposing lane
2023,2,Lexus,RX 450h,Sunnyvale,CA,10.0,0,0,1,0,0,Daylight,Clear,Dry,Making U turn
2023,5,Lexus,RX 450h,Santa Clara,CA,16.0,1,0,0,0,0,Daylight,Clear,Dry,Stopped
2018,8,Lexus,RX 450h,Sunnyvale,CA,14.0,1,0,0,0,0,Daylight,Clear,Dry,Proceeding Straight
2023,9,Lexus,RX 450h,Emeryville,CA,11.0,1,0,0,0,0,Daylight,Clear,Dry,Stopped
2021,9,Lexus,RX 450h,Sunnyvale,CA,10.0,0,0,1,0,0,Daylight,Cloudy,Dry,Making Right Turn
2023,9,Lexus,RX 450h,San Jose,CA,14.0,0,1,0,0,0,Daylight,Cloudy,Dry,Proceeding Straight
2018,10,Lexus,RX 450h,Sunnyvale,CA,22.0,0,0,1,0,0,Daylight,Clear,Dry,Proceeding Straight
2022,12,Lexus,RX 450h,Sunnyvale,CA,12.0,1,0,0,0,0,Daylight,Clear,Dry,Slowing/Stopping
2022,12,Lexus,RX 450h,Belmont,CA,12.0,0,1,0,0,0,Daylight,Clear,Dry,Proceeding Straight
2019,9,Lexus,RX 450h,Sunnyvale,CA,7.0,0,1,0,0,0,Daylight,Clear,Dry,Stopped
2018,6,Lincoln,MKZ,Palo Alto,CA,13.0,1,0,1,0,0,Daylight,Clear,Dry,Slowing/Stopping
2018,11,Lincoln,MKZ,Palo Alto,CA,15.0,1,0,0,0,0,Daylight,Clear,Dry,Proceeding Straight
2019,1,Lincoln,MKZ,San Francisco,CA,14.0,1,0,1,0,0,Daylight,Clear,Dry,Stopped
2020,1,Lincoln,MKZ,Santa Clara,CA,11.0,0,0,0,0,0,Daylight,Clear,Slippery,Stopped
2023,8,Navya,ARMA,San Francisco,CA,17.0,0,1,0,0,0,Daylight,Clear,Dry,Proceeding Straight
2019,12,Toyota,Highlander,San Francisco,CA,9.0,0,1,1,0,0,Daylight,Cloudy,Dry,Proceeding Straight
2019,12,Toyota,Highlander,San Francisco,CA,9.0,1,0,0,1,0,Daylight,Cloudy,Dry,Making Right Turn
2020,1,Toyota,Highlander,San Francisco,CA,9.0,0,0,0,0,0,Dark w Street-lights,Clear,Dry,Stopped
2020,1,Toyota,Highlander,San Francisco,CA,18.0,1,0,0,0,0,Daylight,Cloudy,Dry,Proceeding Straight
2020,1,Toyota,Highlander,San Francisco,CA,15.0,1,0,0,0,0,Daylight,Clear,Dry,Proceeding Straight
2020,1,Toyota,Highlander,San Francisco,CA,8.0,1,0,0,0,0,Daylight,Clear,Dry,Stopped
2019,7,Toyota,Highlander,San Francisco,CA,20.0,0,0,0,1,0,Dark w Street-lights,Clear,Dry,Stopped
2019,6,Toyota,Highlander,San Francisco,CA,11.0,0,0,0,0,0,Daylight,Clear,Dry,Slowing/Stopping
2019,6,Toyota,Highlander,San Francisco,CA,11.0,0,0,0,0,0,Daylight,Cloudy,Dry,Proceeding Straight
2019,11,Toyota,Highlander,San Francisco,CA,23.0,0,1,0,0,0,Dark w Street-lights,Clear,Dry,Making Left Turn
2019,10,Toyota,Highlander,San Francisco,CA,12.0,1,0,0,0,0,Daylight,Clear,Dry,Proceeding Straight
2019,10,Toyota,Highlander,San Francisco,CA,14.0,1,0,0,0,0,Daylight,Clear,Dry,Stopped
2023,1,Cruise,AV,San Francisco,CA,18.0,0,0,0,1,0,Dark w Street-lights,Clear,Dry,Proceeding Straight
2023,3,Cruise,AV,San Francisco,CA,4.0,1,0,0,1,0,Dark w Street-lights,Clear,Dry,Stopped
2023,3,Cruise,AV,San Francisco,CA,1.0,0,1,0,1,0,Dark w Street-lights,Clear,Dry,Making Left Turn
2023,3,Cruise,AV,San Francisco,CA,3.0,0,1,1,0,1,Dark w Street-lights,Clear,Dry,Proceeding Straight
2023,3,Cruise,AV,San Francisco,CA,21.0,0,0,0,1,0,Dark w Street-lights,Raining,Wet,Proceeding Straight
2023,3,Cruise,AV,San Francisco,CA,17.0,0,0,0,0,0,Daylight,Cloudy,Wet,Proceeding Straight
2023,3,Cruise,AV,San Francisco,CA,4.0,0,1,1,1,0,Dark w Street-lights,Raining,Wet,Proceeding Straight
2023,3,Cruise,AV,San Francisco,CA,3.0,0,1,1,0,0,Dark w Street-lights,Raining,Wet,Proceeding Straight
2023,3,Cruise,AV,San Francisco,CA,23.0,0,0,0,0,0,Dark w Street-lights,Clear,Dry,Stopped
2023,3,Cruise,AV,San Francisco,CA,14.0,0,1,1,1,1,Daylight,Clear,Dry,Proceeding Straight
2023,4,Cruise,AV,San Francisco,CA,4.0,0,0,0,1,0,Dark w Street-lights,Clear,Dry,Proceeding Straight
2023,4,Cruise,AV,San Francisco,CA,20.0,0,1,0,1,0,Dark w Street-lights,Clear,Dry,Stopped
2023,4,Cruise,AV,San Francisco,CA,20.0,0,0,0,1,0,Dark w Street-lights,Clear,Dry,Stopped
2023,4,Cruise,AV,San Francisco,CA,21.0,1,0,0,0,0,Dark w Street-lights,Clear,Dry,Making Right Turn
2023,5,Cruise,AV,San Francisco,CA,2.0,0,1,1,0,0,Dark w Street-lights,Clear,Dry,Making Left Turn
2023,5,Cruise,AV,San Francisco,CA,4.0,0,0,0,0,1,Dark w Street-lights,Raining,Wet,Proceeding Straight
2023,5,Cruise,AV,San Francisco,CA,9.0,1,0,0,0,1,Daylight,Clear,Dry,Slowing/Stopping
2023,5,Cruise,AV,San Francisco,CA,17.0,0,0,0,1,0,Daylight,Clear,Dry,Proceeding Straight
2021,5,Chevrolet,Bolt,San Francisco,CA,15.0,1,0,0,0,0,Daylight,Clear,Dry,Stopped
2023,5,Cruise,AV,San Francisco,CA,4.0,0,0,0,1,0,Dark w Street-lights,Clear,Dry,Backing
2023,5,Cruise,AV,San Francisco,CA,21.0,0,1,1,1,0,Dark w Street-lights,Clear,Dry,Proceeding Straight
2023,6,Cruise,AV,San Francisco,CA,22.0,0,1,0,0,0,Dark w Street-lights,Clear,Dry,Stopped
2023,6,Cruise,AV,San Francisco,CA,22.0,1,0,0,0,0,Dark w Street-lights,Cloudy,Dry,Stopped
2023,6,Cruise,AV,San Francisco,CA,9.0,0,0,0,0,1,Daylight,Cloudy,Dry,Proceeding Straight
2023,6,Cruise,AV,San Francisco,CA,10.0,0,0,0,1,0,Daylight,Cloudy,Dry,Backing
2023,6,Cruise,AV,San Francisco,CA,23.0,0,0,0,0,0,Dark w Street-lights,Clear,Dry,Proceeding Straight
2023,6,Cruise,AV,San Francisco,CA,13.0,0,0,1,0,0,Daylight,Clear,Dry,Backing
2023,7,Cruise,AV,San Francisco,CA,0.0,0,0,0,1,0,Dark w Street-lights,Clear,Dry,Proceeding Straight
2021,5,Cruise,AV,San Francisco,CA,15.0,0,1,0,0,0,Dark w Street-lights,Clear,Dry,Proceeding Straight
2023,7,Cruise,AV,San Francisco,CA,1.0,0,1,0,0,0,Dark w Street-lights,Clear,Dry,Proceeding Straight
2023,7,Cruise,AV,San Francisco,CA,23.0,1,0,0,0,0,Dark w Street-lights,Clear,Dry,Other
2023,7,Cruise,AV,San Francisco,CA,22.0,1,0,1,0,0,Dark w Street-lights,Clear,Dry,Proceeding Straight
